SERIAL_NUMBER,CHIP,END
S1A174100001,UMC,END
S1A174100004,UMC,END
S1A174100005,UMC,END
S1A174100006,UMC,END
S1A174100007,UMC,END
S1A174100008,UMC,END
S1A174100009,UMC,END
S1A174100015,UMC,END
S1A174100017,UMC,END
S1A174100018,UMC,END
S1A174100020,UMC,END
S1A174100021,UMC,END
S1A174100023,UMC,END
S1A174100024,UMC,END
S1A174100025,UMC,END
S1A174100027,UMC,END
S1A174100028,UMC,END
S1A174100029,UMC,END
S1A174100032,UMC,END
S1A174100033,UMC,END
S1A174100034,UMC,END
S1A174100035,UMC,END
S1A174100037,UMC,END
S1A174100038,UMC,END
S1A174100039,UMC,END
S1A174100040,UMC,END
S1A174100041,UMC,END
S1A174100043,UMC,END
S1A174100046,UMC,END
S1A174100051,UMC,END
S1A174100053,UMC,END
S1A174100054,UMC,END
S1A174100055,UMC,END
S1A174100059,UMC,END
S1A174100063,UMC,END
S1A174100064,UMC,END
S1A174100068,UMC,END
S1A174100069,UMC,END
S1A174100070,UMC,END
S1A174100071,UMC,END
S1A174100078,UMC,END
S1A174100079,UMC,END
S1A174100080,UMC,END
S1A174100085,UMC,END
S1A174100086,UMC,END
S1A174100087,UMC,END
S1A174100090,UMC,END
SFAA74700002,UMC,END
SFAA74700003,UMC,END
SFAA74700005,UMC,END
SFAA74700007,UMC,END
SFAA74700009,UMC,END
SFAA74700026,UMC,END
SFAA74700032,UMC,END
SFAA74700038,UMC,END
SFAA75100013,UMC,END
SFAA75100014,UMC,END
SFAA75100019,UMC,END
SFAA75100020,UMC,END
SFAA75100027,UMC,END
SFAA75100035,UMC,END
SFAA75100037,UMC,END
SFAA75100043,UMC,END
SFAA75100044,UMC,END
SFAA75100050,UMC,END
SFAA80100001,UMC,END
SFAA80100002,UMC,END
SFAA80100003,UMC,END
SFAA80100004,UMC,END
SFAA80100005,UMC,END
SFAA80100006,UMC,END
SFAA80100007,UMC,END
SFAA80100008,UMC,END
SFAA80100009,UMC,END
SFAA80100010,UMC,END
SFAA80100011,UMC,END
SFAA80100012,UMC,END
SFAA80100013,UMC,END
SFAA80100014,UMC,END
SFAA80100015,UMC,END
SFAA80100016,UMC,END
SFAA80100017,UMC,END
SFAA80100018,UMC,END
SFAA80100019,UMC,END
SFAA80100020,UMC,END
SFAA80100021,UMC,END
SFAA80100022,UMC,END
SFAA80100023,UMC,END
SFAA80100024,UMC,END
SFAA80100025,UMC,END
SFAA80100026,UMC,END
SFAA80100027,UMC,END
SFAA80100028,UMC,END
SFAA80100029,UMC,END
SFAA80100030,UMC,END
SFAA80100031,UMC,END
SFAA80100032,UMC,END
SFAA80100033,UMC,END
SFAA80100035,UMC,END
SFAA80100036,UMC,END
SFAA80100037,UMC,END
SFAA80100039,UMC,END
SFAA80100040,UMC,END
SFAA80100041,UMC,END
SFAA80100042,UMC,END
SFAA80100043,UMC,END
SFAA80100044,UMC,END
SFAA80100045,UMC,END
SFAA80100046,UMC,END
SFAA80100047,UMC,END
SFAA80100048,UMC,END
SFAA80100049,UMC,END
SFAA80100050,UMC,END
SFAA80100051,UMC,END
SFAA80100052,UMC,END
SFAA80100053,UMC,END
SFAA80100054,UMC,END
SFAA80100056,UMC,END
SFAA80100057,UMC,END
SFAA80100058,UMC,END
SFAA80100059,UMC,END
SFAA80100060,UMC,END
SFAA80100061,UMC,END
SFAA80100062,UMC,END
SFAA80100063,UMC,END
SFAA80100064,UMC,END
SFAA80100065,UMC,END
SFAA80100066,UMC,END
SFAA80100067,UMC,END
SFAA80100068,UMC,END
SFAA80100069,UMC,END
SFAA80100070,UMC,END
SFAA80100071,UMC,END
SFAA80100072,UMC,END
SFAA80100073,UMC,END
SFAA80100074,UMC,END
SFAA80100075,UMC,END
SFAA80100076,UMC,END
SFAA80100077,UMC,END
SFAA80100078,UMC,END
SFAA80100079,UMC,END
SFAA80100080,UMC,END
SFAA80100081,UMC,END
SFAA80100082,UMC,END
SFAA80100083,UMC,END
SFAA80100084,UMC,END
SFAA80100085,UMC,END
SFAA80100086,UMC,END
SFAA80100087,UMC,END
SFAA80100088,UMC,END
SFAA80100089,UMC,END
SFAA80100090,UMC,END
SFAA80100091,UMC,END
SFAA80100092,UMC,END
SFAA80100093,UMC,END
SFAA80100094,UMC,END
SFAA80100095,UMC,END
SFAA80100096,UMC,END
SFAA80100097,UMC,END
SFAA80100098,UMC,END
SFAA80100099,UMC,END
SFAA80100100,UMC,END
SFAA80100104,UMC,END
SFAA80100106,UMC,END
SFAA80100107,UMC,END
SFAA80100109,UMC,END
SFAA80100110,UMC,END
SFAA80100111,UMC,END
SFAA80100114,UMC,END
SFAA80100116,UMC,END
SFAA80100118,UMC,END
SFAA80200061,UMC,END
SFAA80200062,UMC,END
SFAA80200063,UMC,END
SFAA80200064,UMC,END
SFAA80200065,UMC,END
SFAA80200066,UMC,END
SFAA80200067,UMC,END
SFAA80200068,UMC,END
SFAA80200069,UMC,END
SFAA80200070,UMC,END
SFAA80200071,UMC,END
SFAA80200072,UMC,END
SFAA80200073,UMC,END
SFAA80200074,UMC,END
SFAA80200075,UMC,END
SFAA80200076,UMC,END
SFAA80200077,UMC,END
SFAA80200078,UMC,END
SFAA80200079,UMC,END
SFAA80200080,UMC,END
SFAA80200081,UMC,END
SFAA80200082,UMC,END
SFAA80200083,UMC,END
SFAA80200084,UMC,END
SFAA80200085,UMC,END
SFAA80200086,UMC,END
SFAA80200087,UMC,END
SFAA80200088,UMC,END
SFAA80200089,UMC,END
SFAA80200090,UMC,END
SFAA80200091,UMC,END
SFAA80200092,UMC,END
SFAA80200093,UMC,END
SFAA80200094,UMC,END
SFAA80200095,UMC,END
SFAA80200096,UMC,END
SFAA80200097,UMC,END
SFAA80200098,UMC,END
SFAA80200099,UMC,END
SFAA80200100,UMC,END
SFAA80200101,UMC,END
SFAA80200102,UMC,END
SFAA80200103,UMC,END
SFAA80200104,UMC,END
SFAA80200105,UMC,END
SFAA80200106,UMC,END
SFAA80200107,UMC,END
SFAA80200108,UMC,END
SFAA80200109,UMC,END
SFAA80200110,UMC,END
SFAA80200111,UMC,END
SFAA80200112,UMC,END
SFAA80200113,UMC,END
SFAA80200114,UMC,END
SFAA80200115,UMC,END
SFAA80200116,UMC,END
SFAA80200117,UMC,END
SFAA80200118,UMC,END
SFAA80200119,UMC,END
SFAA80200120,UMC,END
SFAA80200121,UMC,END
SFAA80200122,UMC,END
SFAA80200123,UMC,END
SFAA80200124,UMC,END
SFAA80200125,UMC,END
SFAA80200126,UMC,END
SFAA80200127,UMC,END
SFAA80200128,UMC,END
SFAA80200129,UMC,END
SFAA80200130,UMC,END
SFAA80200131,UMC,END
SFAA80200132,UMC,END
SFAA80200133,UMC,END
SFAA80200134,UMC,END
SFAA80200135,UMC,END
SFAA80200136,UMC,END
SFAA80200137,UMC,END
SFAA80200138,UMC,END
SFAA80200139,UMC,END
SFAA80200140,UMC,END
SFAA80200141,UMC,END
SFAA80200142,UMC,END
SFAA80200143,UMC,END
SFAA80200144,UMC,END
SFAA80200145,UMC,END
SFAA80200146,UMC,END
SFAA80200147,UMC,END
SFAA80200148,UMC,END
SFAA80200149,UMC,END
SFAA80200150,UMC,END
SFAA80200151,UMC,END
SFAA80200152,UMC,END
SFAA80200153,UMC,END
SFAA80200154,UMC,END
SFAA80200157,UMC,END
SFAA80200158,UMC,END
SFAA80200159,UMC,END
SFAA80200160,UMC,END
SFAA80200161,UMC,END
SFAA80200162,UMC,END
SFAA80200163,UMC,END
SFAA80200164,UMC,END
SFAA80200165,UMC,END
SFAA80200166,UMC,END
SFAA80200167,UMC,END
SFAA80200168,UMC,END
SFAA80200169,UMC,END
SFAA80200170,UMC,END
SFAA80200171,UMC,END
SFAA80200172,UMC,END
SFAA80200173,UMC,END
SFAA80200174,UMC,END
SFAA80200175,UMC,END
SFAA80200176,UMC,END
